X,Y,Z,areas,ax1s,ax2s,bat_ids,gyrations,types,volumes,type 2
0.4,4.8,2,19.12,11.5459,0.8026,#38458,1.3292,IfcWallStandardCase,1.656,G
0.4,2.4001,3.28,15.6646,11.5584,0.4706,#38491,0.6377,IfcWallStandardCase,1.3553,G
6.0999,0.4,3.28,39.9353,10.9883,0.4689,#38524,1.7041,IfcWallStandardCase,3.6343,G
0.35,3.4,2.95,12.933,17.3866,1.5189,#38959,1.1299,IfcWallStandardCase,0.7439,D1
0.29,3.1,3.25,15.923,24.6926,1.1523,#39029,0.7431,IfcWallStandardCase,0.6449,D1
4.95,0.35,2.8,24.025,15.3123,0.9117,#39068,1.4305,IfcWallStandardCase,1.569,D1
2.895,0.35,2.8,15.6025,14.8447,0.7413,#39101,0.7792,IfcWallStandardCase,1.0511,G
2.655,0.35,2.8,14.2825,14.9172,0.7416,#39134,0.71,IfcWallStandardCase,0.9575,G
0.9598,0.29,3.15,5.1507,25.5324,1.0949,#39240,0.2209,IfcWallStandardCase,0.2017,G
0.29,1.28,3.15,7.0974,24.752,1.0911,#39273,0.3128,IfcWallStandardCase,0.2867,G
0.29,2.02,3.25,11.9786,23.9769,1.0529,#39306,0.526,IfcWallStandardCase,0.4996,G
0.745,0.29,3.25,3.9716,26.5477,1.0659,#39339,0.1595,IfcWallStandardCase,0.1496,G
1.735,0.29,3.25,10.1888,24.1809,1.0534,#39372,0.4439,IfcWallStandardCase,0.4214,G
0.29,1.03,3.25,5.7614,25.2876,1.0578,#39405,0.241,IfcWallStandardCase,0.2278,G
