X,Y,Z,areas,ax1s,ax2s,bat_ids,gyrations,types,volumes,type 2
4.2,0.4,3.52,29.488,11.1024,0.4353,#481274,1.1561,IfcWallStandardCase,2.656,G
4.2,0.4,3.52,22.918,12.4758,0.7283,#481336,1.3378,IfcWallStandardCase,1.837,D1
4.2,0.4,3.52,26.718,11.8378,0.5188,#481398,1.171,IfcWallStandardCase,2.257,D1
0.4,5.5,3.52,38.64,10.9798,0.4351,#481584,1.5311,IfcWallStandardCase,3.5192,G
4.2,0.4,3.52,26.718,11.8378,0.5115,#481894,1.1544,IfcWallStandardCase,2.257,D1
4.2,0.4,3.52,22.918,12.4758,0.7042,#481956,1.2936,IfcWallStandardCase,1.837,D1
4.2,0.4,3.52,26.718,11.8378,0.5044,#482018,1.1383,IfcWallStandardCase,2.257,D1
2.05,0.4,3.52,11.582,13.9643,0.7525,#482080,0.6242,IfcWallStandardCase,0.8294,D1
2.35,0.4,3.52,16.464,11.5326,0.4366,#482229,0.6233,IfcWallStandardCase,1.4276,G
0.4,5.8,3.52,40.7519,10.9596,0.435,#482415,1.6176,IfcWallStandardCase,3.7184,G
0.4,2.6896,3.52,18.8545,11.4058,0.4362,#482477,0.721,IfcWallStandardCase,1.6531,G
0.4,2.2239,3.52,15.5764,11.5906,0.4369,#482539,0.5871,IfcWallStandardCase,1.3439,G
0.4,3.88,3.52,27.2352,11.1459,0.4354,#482601,1.0639,IfcWallStandardCase,2.4435,G
0.4,5.85,3.52,41.104,10.9564,0.435,#482663,1.632,IfcWallStandardCase,3.7516,G
0.4,5.75,3.52,38.0101,11.4206,0.4945,#482849,1.6456,IfcWallStandardCase,3.3282,D1
0.4,5.75,3.52,40.4001,10.9628,0.435,#482973,1.6032,IfcWallStandardCase,3.6852,G
0.4,4.75,3.52,30.97,11.6245,0.4526,#483035,1.2057,IfcWallStandardCase,2.6642,D1
0.4,4.225,3.52,29.664,11.0993,0.4353,#483097,1.1634,IfcWallStandardCase,2.6726,G
0.4,4.2,3.52,29.488,11.1024,0.4353,#483159,1.1561,IfcWallStandardCase,2.656,G
8.55,0.4,3.52,54.112,11.3006,0.4569,#483221,2.1879,IfcWallStandardCase,4.7884,D1
0.4,2.3,3.52,10.112,15.8396,1.085,#483283,0.6927,IfcWallStandardCase,0.6384,D1
2.1,0.4,3.52,12.314,13.6126,0.6052,#483345,0.5475,IfcWallStandardCase,0.9046,D1
4.15,0.4,3.52,26.746,11.8042,0.5107,#483407,1.1571,IfcWallStandardCase,2.2658,D1
4.2,0.4,3.52,27.098,11.7869,0.508,#483469,1.1678,IfcWallStandardCase,2.299,D1
4.15,0.4,3.52,26.746,11.8042,0.5263,#483593,1.1924,IfcWallStandardCase,2.2658,D1
4.2,0.4,3.52,23.488,12.3621,0.67,#483655,1.2731,IfcWallStandardCase,1.9,D1
0.4,3.9166,3.52,27.4925,11.1405,0.4354,#483779,1.0744,IfcWallStandardCase,2.4678,G
4.15,0.4,3.52,26.746,11.8042,0.5057,#484027,1.1458,IfcWallStandardCase,2.2658,D1
4.15,0.4,3.52,29.136,11.1087,0.4353,#484213,1.1417,IfcWallStandardCase,2.6228,G
4.2,0.4,3.52,27.098,11.7869,0.525,#484275,1.207,IfcWallStandardCase,2.299,D1
0.4,4.3546,3.52,30.5765,11.0838,0.4353,#484399,1.2007,IfcWallStandardCase,2.7587,G
0.4,4.3,3.52,27.802,11.7536,0.5204,#484461,1.2309,IfcWallStandardCase,2.3654,D1
4.55,0.4,3.52,29.562,11.6781,0.5082,#484523,1.2864,IfcWallStandardCase,2.5314,D1
0.4,1.55,3.52,10.8319,12.0839,0.4395,#484585,0.394,IfcWallStandardCase,0.8964,G
5,0.4,3.52,35.12,11.0191,0.4351,#484647,1.3868,IfcWallStandardCase,3.1872,G
5.6,0.4,3.52,39.344,10.9728,0.435,#484709,1.5599,IfcWallStandardCase,3.5856,G
5.1,0.4,3.52,35.824,11.0106,0.4351,#484771,1.4157,IfcWallStandardCase,3.2536,G
8,0.4,3.52,50.24,11.3583,0.468,#485019,2.0701,IfcWallStandardCase,4.4232,D1
8,0.4,3.52,52.088,11.254,0.463,#485081,2.1428,IfcWallStandardCase,4.6284,W1
4.25,0.4,3.52,27.45,11.77,0.502,#485205,1.1708,IfcWallStandardCase,2.3322,D1
2.85,0.4,3.52,19.984,11.3571,0.436,#485262,0.7672,IfcWallStandardCase,1.7596,G
0.4,1.55,3.52,10.832,12.0839,0.4395,#485319,0.394,IfcWallStandardCase,0.8964,G
0.4,0.7,3.52,4.848,14.6024,0.4682,#485376,0.1555,IfcWallStandardCase,0.332,G
3.5,0.4,3.52,24.56,11.2085,0.4355,#485433,0.9544,IfcWallStandardCase,2.1912,G
1.075,0.4,3.52,7.488,12.8881,0.446,#485490,0.2591,IfcWallStandardCase,0.581,G
4.5,0.4,3.52,31.6,11.0675,0.4352,#485718,1.2426,IfcWallStandardCase,2.8552,G
0.4,2.1,3.52,8.704,17.2152,1.1706,#485775,0.5918,IfcWallStandardCase,0.5056,D1
4.2,0.4,3.52,23.488,12.3621,0.6982,#486256,1.3266,IfcWallStandardCase,1.9,D1
4.15,0.4,3.52,26.746,11.8042,0.5098,#486380,1.1551,IfcWallStandardCase,2.2658,D1
4.2,0.4,3.52,23.488,12.3621,0.6803,#486442,1.2926,IfcWallStandardCase,1.9,D1
4.2,0.4,3.52,27.098,11.7869,0.5141,#486504,1.182,IfcWallStandardCase,2.299,D1
4.2,0.4,3.52,23.488,12.3621,0.6981,#486752,1.3264,IfcWallStandardCase,1.9,D1
4.2,0.4,3.52,27.098,11.7869,0.5221,#486814,1.2004,IfcWallStandardCase,2.299,D1
4.15,0.4,3.52,26.746,11.8042,0.5269,#486876,1.1939,IfcWallStandardCase,2.2658,D1
4.2,0.4,3.52,27.098,11.7869,0.5206,#487000,1.1969,IfcWallStandardCase,2.299,D1
0.4,4.45,3.52,28.858,11.7071,0.5167,#487186,1.2736,IfcWallStandardCase,2.465,D1
4.55,0.4,3.52,29.562,11.6781,0.509,#487248,1.2884,IfcWallStandardCase,2.5314,D1
8,0.4,3.52,50.24,11.3583,0.4668,#487310,2.0646,IfcWallStandardCase,4.4232,D1
7.95,0.4,3.52,51.736,11.2587,0.4624,#487372,2.1247,IfcWallStandardCase,4.5952,W1
4.25,0.4,3.52,27.45,11.77,0.4994,#487434,1.1648,IfcWallStandardCase,2.3322,D1
3.4,0.4,3.52,23.856,11.2274,0.4356,#487662,0.9256,IfcWallStandardCase,2.1248,G
1.175,0.4,3.52,8.192,12.6537,0.4438,#487719,0.2873,IfcWallStandardCase,0.6474,G
0.4,4.7,3.52,33.0081,11.0469,0.4352,#487776,1.3003,IfcWallStandardCase,2.988,G
1,0.4,3.52,6.96,13.1024,0.4481,#487833,0.238,IfcWallStandardCase,0.5312,G
4.075,0.4,3.52,26.218,11.8312,0.5246,#488465,1.1626,IfcWallStandardCase,2.216,D1
0.4,1.4,3.52,9.7759,12.2691,0.4407,#488522,0.3512,IfcWallStandardCase,0.7968,G
0.4,2.6,3.52,18.224,11.4357,0.4363,#489345,0.6952,IfcWallStandardCase,1.5936,G
0.35,2.1,3.52,10.678,17.3626,0.9094,#491028,0.5593,IfcWallStandardCase,0.615,W1
0.4,2.1,3.52,11.504,14.0293,0.6836,#491110,0.5606,IfcWallStandardCase,0.82,W1
0.55,8.45,3.52,60.591,6.8746,0.2627,#493491,2.3154,IfcWallStandardCase,8.8137,W1
0.55,5.55,3.52,41.593,6.6905,0.249,#493578,1.5477,IfcWallStandardCase,6.2167,G
0.55,5.85,3.52,43.795,6.6707,0.2489,#493640,1.6341,IfcWallStandardCase,6.5653,G
0.55,5.75,3.52,43.061,6.6771,0.2489,#493702,1.6053,IfcWallStandardCase,6.4491,G
0.55,8.5,3.52,60.958,6.871,0.2632,#494136,2.3349,IfcWallStandardCase,8.8718,W1
0.55,5.5,3.52,41.226,6.6941,0.249,#494223,1.5333,IfcWallStandardCase,6.1586,G
0.45,3.25,3.52,16.793,11.1046,0.5879,#496259,0.889,IfcWallStandardCase,1.5122,W1
0.45,4.25,3.52,21.777,10.8262,0.5869,#496321,1.1806,IfcWallStandardCase,2.0115,W1
0.45,4.315,3.52,22.2436,10.7674,0.5857,#496383,1.2099,IfcWallStandardCase,2.0658,W1
0.45,4.35,3.52,23.1661,11.0604,0.5857,#496507,1.2269,IfcWallStandardCase,2.0945,W1
4.25,0.45,3.52,24.1244,10.7171,0.5442,#497375,1.225,IfcWallStandardCase,2.251,W1
0.4,2.22,3.52,15.5488,11.5925,0.4369,#540160,0.586,IfcWallStandardCase,1.3413,G
0.45,4.4825,3.52,23.4395,10.6309,0.5797,#540860,1.2781,IfcWallStandardCase,2.2049,W1
4.5,0.3,3.52,30.076,21.0675,0.8697,#541948,1.2416,IfcWallStandardCase,1.4276,G
0.3,0.7,3.52,4.084,24.6024,0.8867,#542005,0.1472,IfcWallStandardCase,0.166,G
0.3,0.85,3.52,5.1099,23.6794,0.8797,#542404,0.1898,IfcWallStandardCase,0.2158,G
0.75,0.3,3.52,4.426,24.2388,0.8838,#542461,0.1614,IfcWallStandardCase,0.1826,G
0.3,2.9919,3.52,19.7605,21.3188,0.8701,#542518,0.8065,IfcWallStandardCase,0.9269,G
2.3,0.3,3.52,15.028,21.5548,0.8705,#542575,0.6069,IfcWallStandardCase,0.6972,G
4.2,0.3,3.52,28.024,21.1024,0.8698,#542632,1.1551,IfcWallStandardCase,1.328,G
