,X,Y,Z,areas,ax1s,ax2s,bat_ids,global_ids,gyrations,types,volumes
24,1.0,1.0,4.05,13.6,5.5195,0.1325,#295361,0Zk7zH719FXPcnY68eNUca,0.3266,IfcColumn,2.464
25,1.0,0.8,5.85,16.7796,6.1875,0.1064,#295589,0Zk7zH719FXPcnY68eNUcm,0.2887,IfcColumn,2.7118
26,1.0,0.8,5.85,16.78,6.1873,0.1064,#295627,0Zk7zH719FXPcnY68eNUcs,0.2887,IfcColumn,2.712
27,1.0,0.7,5.85,15.49,6.854,0.1205,#295665,0Zk7zH719FXPcnY68eNUcq,0.2723,IfcColumn,2.26
28,1.0022,0.7,6.0,20.9338,15.1151,0.202,#295774,0Zk7zH719FXPcnY68eNUcw,0.2797,IfcColumn,1.385
29,0.8,0.5,6.0,10.8,10.3448,0.1855,#295812,0Zk7zH719FXPcnY68eNUcu,0.1936,IfcColumn,1.044
30,1.0023,1.0027,4.05,12.8852,5.5709,0.1367,#295892,0Zk7zH719FXPcnY68eNUc_,0.3162,IfcColumn,2.313
31,0.8,0.8,4.05,9.96,7.1861,0.1767,#296272,0Zk7zH719FXPcnY68eNUZk,0.2449,IfcColumn,1.386
32,0.8,0.8,4.2,10.32,7.1667,0.1701,#296462,0Zk7zH719FXPcnY68eNUic,0.2449,IfcColumn,1.44
33,0.8,0.8,4.2,10.23,7.2399,0.1733,#296590,0Zk7zH719FXPcnY68eNUl1,0.2449,IfcColumn,1.413
34,0.7674,0.7674,5.85,9.369,11.0245,0.1984,#298438,3bIwz0t$PChBISn8uYKH5a,0.1686,IfcColumn,0.8498
35,1.0,1.0,6.05,20.0,5.3419,0.0872,#298516,0$uXMwvobE_B1E41tjNHmK,0.3266,IfcColumn,3.744
36,1.0,1.0,6.3,21.28,5.6838,0.0872,#298565,0$uXMwvobE_B1E41tjNHmQ,0.3266,IfcColumn,3.744
37,1.0,1.0,6.3,21.68,5.7906,0.0872,#298734,0$uXMwvobE_B1E41tjNHmO,0.3266,IfcColumn,3.744
38,1.0,1.0,6.3,20.8,5.3279,0.0837,#299044,0$uXMwvobE_B1E41tjNHmg,0.3266,IfcColumn,3.904
39,0.8,0.8,6.3,15.36,6.9945,0.1115,#299082,0$uXMwvobE_B1E41tjNHme,0.2449,IfcColumn,2.196
40,1.0,1.0,6.3,21.46,5.6712,0.0865,#299393,0$uXMwvobE_B1E41tjNHms,0.3272,IfcColumn,3.784
41,1.0,1.0,6.3,21.22,5.7043,0.0877,#299569,0$uXMwvobE_B1E41tjNHmq,0.3262,IfcColumn,3.72
42,1.0,1.0,6.3,21.76,5.7505,0.0865,#299738,0$uXMwvobE_B1E41tjNHmw,0.3272,IfcColumn,3.784
43,0.8,0.8,4.45,10.92,7.1373,0.1601,#300167,0$uXMwvobE_B1E41tjNHn2,0.2449,IfcColumn,1.53
44,0.8,0.8,5.3,12.88,7.2523,0.1378,#300314,0$uXMwvobE_B1E41tjNHn0,0.2447,IfcColumn,1.776
45,0.8,0.8,5.15,12.6,7.0707,0.1375,#300352,0$uXMwvobE_B1E41tjNHn6,0.2449,IfcColumn,1.782
46,0.8,0.8,6.05,14.76,7.0085,0.1163,#300390,0$uXMwvobE_B1E41tjNHn4,0.2449,IfcColumn,2.106
47,0.8,0.8,4.1,10.08,7.1795,0.1745,#300466,0$uXMwvobE_B1E41tjNHn8,0.2449,IfcColumn,1.404
48,0.8,0.5,3.9,7.02,10.5405,0.2908,#300504,0$uXMwvobE_B1E41tjNHnE,0.1936,IfcColumn,0.666
49,12.0746,0.6,1.3,36.5037,6.9866,0.6565,#344241,0OK9Iu4NbCagRYhPxqAXeG,3.4298,IfcBeam,5.2248
50,12.0746,0.6,1.3,36.5038,6.9866,0.6565,#344279,0OK9Iu4NbCagRYhPxqAXrn,3.4298,IfcBeam,5.2248
51,0.6,7.3746,1.3,22.4038,7.0969,0.6571,#344314,0OK9Iu4NbCagRYhPxqAXvD,2.0743,IfcBeam,3.1568
52,12.6746,0.6,1.3,38.3037,6.9785,0.6564,#344349,0OK9Iu4NbCagRYhPxqAW7E,3.6029,IfcBeam,5.4888
53,0.6,7.0746,1.3,21.5038,7.1091,0.6572,#344384,0OK9Iu4NbCagRYhPxqAW4b,1.9879,IfcBeam,3.0248
54,0.6,6.7746,1.3,20.6038,7.1224,0.6573,#344454,0OK9Iu4NbCagRYhPxqAW22,1.9014,IfcBeam,2.8928
